time,open,high,low,close,tick_volume,actDir,actRisk,eReward,eAccBalance,eWins,eLosses,pType,pOpenPrice,pSLPrice,pTPPrice,pProfit
2023-07-28 15:00:00,1.10091,1.10333,1.10035,1.10094,5109,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 16:00:00,1.10092,1.10173,1.09931,1.10171,5232,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 17:00:00,1.10171,1.10474,1.10171,1.10358,5053,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 18:00:00,1.10358,1.10399,1.10221,1.10383,3705,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 19:00:00,1.10384,1.1043,1.10251,1.10256,2531,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 20:00:00,1.10255,1.10293,1.1015,1.10211,2275,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 21:00:00,1.10212,1.10298,1.10159,1.10234,2098,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 22:00:00,1.10233,1.10266,1.10191,1.1023,1590,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-28 23:00:00,1.10231,1.10235,1.10147,1.10161,1179,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-31 00:00:00,1.10204,1.10207,1.101,1.10197,518,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-31 01:00:00,1.10176,1.10282,1.10168,1.1027,1317,0.0,0.0,0.0,10000.0,0,0,0,0.0,0.0,0.0,0.0
2023-07-31 02:00:00,1.1027,1.10284,1.10237,1.10238,1594,-1.0,-1.0,0.0,10000.0,0,0,2,1.10238,1.1038,0.0,0.0
2023-07-31 03:00:00,1.10238,1.1028,1.10194,1.10224,2255,-1.0,-1.0,0.0,10000.0,0,0,2,1.10238,1.1038,0.0,0.0
2023-07-31 04:00:00,1.10222,1.10265,1.1014,1.10143,2912,-1.0,-1.0,0.0,10000.0,0,0,2,1.10238,1.1038,0.0,0.0
